datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 01:00:00,4965.57,4996.22,4965.57,4994.83,30.65,29.26,BULL,932,44
2026-02-05 01:05:00,4994.91,4999.18,4987.46,4995.37,11.72,0.46,BULL,1417,4
2026-02-05 01:10:00,4995.37,5009.76,4991.41,5009.76,18.35,14.39,BULL,1279,4
2026-02-05 01:15:00,5009.76,5016.31,5005.3,5008.19,11.01,1.57,BEAR,2172,4
2026-02-05 01:20:00,5008.36,5017.24,5000.85,5013.41,16.39,5.05,BULL,2324,4
2026-02-05 01:25:00,5013.41,5021.38,5009.1,5019.75,12.28,6.34,BULL,2133,4
2026-02-05 01:30:00,5019.74,5021.47,5009.64,5019.45,11.83,0.29,BEAR,2288,4
2026-02-05 01:35:00,5019.45,5021.99,5014.07,5018.36,7.92,1.09,BEAR,2386,4
2026-02-05 01:40:00,5018.38,5023.63,5016.37,5022.57,7.26,4.19,BULL,2297,4
2026-02-05 01:45:00,5022.75,5023.8,5014.95,5022.11,8.85,0.64,BEAR,2426,4
2026-02-05 01:50:00,5022.11,5022.93,5015.62,5017.93,7.31,4.18,BEAR,1724,4
2026-02-05 01:55:00,5017.93,5021.68,5008.03,5012.37,13.65,5.56,BEAR,2666,4
2026-02-05 02:00:00,5012.37,5017.0,5004.58,5016.55,12.42,4.18,BULL,3149,4
2026-02-05 02:05:00,5016.55,5018.29,5001.88,5004.97,16.41,11.58,BEAR,1929,4
2026-02-05 02:10:00,5004.97,5015.26,4997.13,4998.43,18.13,6.54,BEAR,3122,4
2026-02-05 02:15:00,4998.43,5018.24,4997.64,5017.36,20.6,18.93,BULL,2305,4
2026-02-05 02:20:00,5017.36,5018.43,5006.52,5011.57,11.91,5.79,BEAR,2176,4
2026-02-05 02:25:00,5011.6,5019.42,5011.6,5015.72,7.82,4.12,BULL,1894,4
2026-02-05 02:30:00,5015.75,5017.32,5009.39,5009.62,7.93,6.13,BEAR,1316,4
2026-02-05 02:35:00,5009.62,5017.76,5009.3,5016.43,8.46,6.81,BULL,991,4
2026-02-05 02:40:00,5016.43,5018.4,5013.92,5018.39,4.48,1.96,BULL,909,4
2026-02-05 02:45:00,5018.39,5020.5,5016.12,5017.0,4.38,1.39,BEAR,1018,4
2026-02-05 02:50:00,5017.0,5017.65,5011.21,5014.75,6.44,2.25,BEAR,1678,4
2026-02-05 02:55:00,5014.75,5015.44,5004.26,5006.89,11.18,7.86,BEAR,2103,4
2026-02-05 03:00:00,5006.89,5012.12,4990.86,5002.17,21.26,4.72,BEAR,5080,4
2026-02-05 03:05:00,5002.17,5005.82,4991.24,4999.62,14.58,2.55,BEAR,4374,4
2026-02-05 03:10:00,4999.62,5001.19,4967.09,4967.67,34.1,31.95,BEAR,4800,4
2026-02-05 03:15:00,4967.86,4973.22,4944.3,4944.72,28.92,23.14,BEAR,5702,4
2026-02-05 03:20:00,4944.72,4960.7,4939.88,4947.78,20.82,3.06,BULL,5004,4
2026-02-05 03:25:00,4947.78,4957.75,4936.1,4951.97,21.65,4.19,BULL,4964,4
2026-02-05 03:30:00,4951.97,4971.66,4951.97,4971.06,19.69,19.09,BULL,4484,4
2026-02-05 03:35:00,4971.09,4985.2,4971.09,4979.6,14.11,8.51,BULL,4961,4
2026-02-05 03:40:00,4979.59,4983.67,4966.02,4980.15,17.65,0.56,BULL,5224,4
2026-02-05 03:45:00,4980.12,4981.1,4968.39,4980.4,12.71,0.28,BULL,4058,4
2026-02-05 03:50:00,4980.4,4986.44,4976.6,4979.43,9.84,0.97,BEAR,3038,4
2026-02-05 03:55:00,4979.43,4981.82,4957.64,4958.89,24.18,20.54,BEAR,3967,4
2026-02-05 04:00:00,4958.91,4962.14,4948.59,4950.33,13.55,8.58,BEAR,5562,4
2026-02-05 04:05:00,4950.33,4950.91,4932.09,4937.33,18.82,13.0,BEAR,4895,4
2026-02-05 04:10:00,4937.33,4945.33,4903.64,4915.64,41.69,21.69,BEAR,5820,4
2026-02-05 04:15:00,4915.68,4922.08,4895.58,4908.97,26.5,6.71,BEAR,6169,4
2026-02-05 04:20:00,4908.97,4934.11,4903.84,4933.49,30.27,24.52,BULL,4805,4
2026-02-05 04:25:00,4933.32,4942.26,4926.52,4937.08,15.74,3.76,BULL,4104,4
2026-02-05 04:30:00,4937.05,4940.68,4911.66,4921.48,29.02,15.57,BEAR,5928,4
2026-02-05 04:35:00,4921.48,4933.15,4908.76,4915.82,24.39,5.66,BEAR,4716,4
2026-02-05 04:40:00,4915.72,4916.45,4895.87,4896.89,20.58,18.83,BEAR,5569,4
2026-02-05 04:45:00,4896.91,4899.41,4830.81,4852.49,68.6,44.42,BEAR,6287,4
2026-02-05 04:50:00,4852.35,4854.22,4805.1,4845.73,49.12,6.62,BEAR,6435,4
2026-02-05 04:55:00,4845.73,4854.26,4807.14,4811.91,47.12,33.82,BEAR,5494,4
2026-02-05 05:00:00,4812.06,4844.45,4788.86,4837.44,55.59,25.38,BULL,5977,4
