datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 01:00:00,4965.57,5009.76,4965.57,5009.76,44.19,44.19,BULL,3628,4
2026-02-05 01:15:00,5009.76,5021.38,5000.85,5019.75,20.53,9.99,BULL,6629,4
2026-02-05 01:30:00,5019.74,5023.63,5009.64,5022.57,13.99,2.83,BULL,6971,4
2026-02-05 01:45:00,5022.75,5023.8,5008.03,5012.37,15.77,10.38,BEAR,6816,4
2026-02-05 02:00:00,5012.37,5018.29,4997.13,4998.43,21.16,13.94,BEAR,8200,4
2026-02-05 02:15:00,4998.43,5019.42,4997.64,5015.72,21.78,17.29,BULL,6375,4
2026-02-05 02:30:00,5015.75,5018.4,5009.3,5018.39,9.1,2.64,BULL,3216,4
2026-02-05 02:45:00,5018.39,5020.5,5004.26,5006.89,16.24,11.5,BEAR,4799,4
2026-02-05 03:00:00,5006.89,5012.12,4967.09,4967.67,45.03,39.22,BEAR,14254,4
2026-02-05 03:15:00,4967.86,4973.22,4936.1,4951.97,37.12,15.89,BEAR,15670,4
2026-02-05 03:30:00,4951.97,4985.2,4951.97,4980.15,33.23,28.18,BULL,14669,4
2026-02-05 03:45:00,4980.12,4986.44,4957.64,4958.89,28.8,21.23,BEAR,11063,4
2026-02-05 04:00:00,4958.91,4962.14,4903.64,4915.64,58.5,43.27,BEAR,16277,4
2026-02-05 04:15:00,4915.68,4942.26,4895.58,4937.08,46.68,21.4,BULL,15078,4
2026-02-05 04:30:00,4937.05,4940.68,4895.87,4896.89,44.81,40.16,BEAR,16213,4
2026-02-05 04:45:00,4896.91,4899.41,4805.1,4811.91,94.31,85.0,BEAR,18216,4
2026-02-05 05:00:00,4812.06,4858.37,4788.86,4847.16,69.51,35.1,BULL,16441,4
2026-02-05 05:15:00,4847.17,4888.4,4833.24,4858.93,55.16,11.76,BULL,15196,4
2026-02-05 05:30:00,4858.9,4879.39,4839.38,4867.49,40.01,8.59,BULL,12956,4
2026-02-05 05:45:00,4867.48,4885.81,4852.71,4880.81,33.1,13.33,BULL,9619,4
2026-02-05 06:00:00,4880.81,4885.31,4863.53,4875.15,21.78,5.66,BEAR,9597,4
2026-02-05 06:15:00,4875.21,4891.14,4871.02,4886.89,20.12,11.68,BULL,7621,4
2026-02-05 06:30:00,4886.89,4887.93,4870.19,4886.54,17.74,0.35,BEAR,8389,4
2026-02-05 06:45:00,4886.51,4888.07,4863.61,4863.82,24.46,22.69,BEAR,8032,4
2026-02-05 07:00:00,4864.03,4876.07,4849.03,4852.99,27.04,11.04,BEAR,8751,4
