datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 01:00:00,4965.57,4996.22,4965.57,4994.83,30.65,29.26,BULL,932,44
2026-02-05 01:05:00,4994.91,4999.18,4987.46,4995.37,11.72,0.46,BULL,1417,4
2026-02-05 01:10:00,4995.37,5009.76,4991.41,5009.76,18.35,14.39,BULL,1279,4
2026-02-05 01:15:00,5009.76,5016.31,5005.3,5008.19,11.01,1.57,BEAR,2172,4
2026-02-05 01:20:00,5008.36,5017.24,5000.85,5013.41,16.39,5.05,BULL,2324,4
2026-02-05 01:25:00,5013.41,5021.38,5009.1,5019.75,12.28,6.34,BULL,2133,4
2026-02-05 01:30:00,5019.74,5021.47,5009.64,5019.45,11.83,0.29,BEAR,2288,4
2026-02-05 01:35:00,5019.45,5021.99,5014.07,5018.36,7.92,1.09,BEAR,2386,4
2026-02-05 01:40:00,5018.38,5023.63,5016.37,5022.57,7.26,4.19,BULL,2297,4
2026-02-05 01:45:00,5022.75,5023.8,5014.95,5022.11,8.85,0.64,BEAR,2426,4
2026-02-05 01:50:00,5022.11,5022.93,5015.62,5017.93,7.31,4.18,BEAR,1724,4
2026-02-05 01:55:00,5017.93,5021.68,5008.03,5012.37,13.65,5.56,BEAR,2666,4
2026-02-05 02:00:00,5012.37,5017.0,5004.58,5016.55,12.42,4.18,BULL,3149,4
2026-02-05 02:05:00,5016.55,5018.29,5001.88,5004.97,16.41,11.58,BEAR,1929,4
2026-02-05 02:10:00,5004.97,5015.26,4997.13,4998.43,18.13,6.54,BEAR,3122,4
2026-02-05 02:15:00,4998.43,5018.24,4997.64,5017.36,20.6,18.93,BULL,2305,4
2026-02-05 02:20:00,5017.36,5018.43,5006.52,5011.57,11.91,5.79,BEAR,2176,4
2026-02-05 02:25:00,5011.6,5019.42,5011.6,5015.72,7.82,4.12,BULL,1894,4
2026-02-05 02:30:00,5015.75,5017.32,5009.39,5009.62,7.93,6.13,BEAR,1316,4
2026-02-05 02:35:00,5009.62,5017.76,5009.3,5016.43,8.46,6.81,BULL,991,4
2026-02-05 02:40:00,5016.43,5018.4,5013.92,5018.39,4.48,1.96,BULL,909,4
2026-02-05 02:45:00,5018.39,5020.5,5016.12,5017.0,4.38,1.39,BEAR,1018,4
2026-02-05 02:50:00,5017.0,5017.65,5011.21,5014.75,6.44,2.25,BEAR,1678,4
2026-02-05 02:55:00,5014.75,5015.44,5004.26,5006.89,11.18,7.86,BEAR,2103,4
2026-02-05 03:00:00,5006.89,5012.12,4990.86,5002.17,21.26,4.72,BEAR,5080,4
