datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 01:00:00,4965.57,5009.76,4965.57,5009.76,44.19,44.19,BULL,3628,4
2026-02-05 01:15:00,5009.76,5021.38,5000.85,5019.75,20.53,9.99,BULL,6629,4
2026-02-05 01:30:00,5019.74,5023.63,5009.64,5022.57,13.99,2.83,BULL,6971,4
2026-02-05 01:45:00,5022.75,5023.8,5008.03,5012.37,15.77,10.38,BEAR,6816,4
2026-02-05 02:00:00,5012.37,5018.29,4997.13,4998.43,21.16,13.94,BEAR,8200,4
2026-02-05 02:15:00,4998.43,5019.42,4997.64,5015.72,21.78,17.29,BULL,6375,4
2026-02-05 02:30:00,5015.75,5018.4,5009.3,5018.39,9.1,2.64,BULL,3216,4
2026-02-05 02:45:00,5018.39,5020.5,5004.26,5006.89,16.24,11.5,BEAR,4799,4
2026-02-05 03:00:00,5006.89,5012.12,4967.09,4967.67,45.03,39.22,BEAR,14254,4
