datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 01:00:00,4965.57,4996.22,4965.57,4994.83,30.65,29.26,BULL,932,44
2026-02-05 01:05:00,4994.91,4999.18,4987.46,4995.37,11.72,0.46,BULL,1417,4
2026-02-05 01:10:00,4995.37,5009.76,4991.41,5009.76,18.35,14.39,BULL,1279,4
2026-02-05 01:15:00,5009.76,5016.31,5005.3,5008.19,11.01,1.57,BEAR,2172,4
2026-02-05 01:20:00,5008.36,5017.24,5000.85,5013.41,16.39,5.05,BULL,2324,4
2026-02-05 01:25:00,5013.41,5021.38,5009.1,5019.75,12.28,6.34,BULL,2133,4
2026-02-05 01:30:00,5019.74,5021.47,5009.64,5019.45,11.83,0.29,BEAR,2288,4
2026-02-05 01:35:00,5019.45,5021.99,5014.07,5018.36,7.92,1.09,BEAR,2386,4
2026-02-05 01:40:00,5018.38,5023.63,5016.37,5022.57,7.26,4.19,BULL,2297,4
2026-02-05 01:45:00,5022.75,5023.8,5014.95,5022.11,8.85,0.64,BEAR,2426,4
2026-02-05 01:50:00,5022.11,5022.93,5015.62,5017.93,7.31,4.18,BEAR,1724,4
2026-02-05 01:55:00,5017.93,5021.68,5008.03,5012.37,13.65,5.56,BEAR,2666,4
2026-02-05 02:00:00,5012.37,5017.0,5004.58,5016.55,12.42,4.18,BULL,3149,4
2026-02-05 02:05:00,5016.55,5018.29,5001.88,5004.97,16.41,11.58,BEAR,1929,4
2026-02-05 02:10:00,5004.97,5015.26,4997.13,4998.43,18.13,6.54,BEAR,3122,4
2026-02-05 02:15:00,4998.43,5018.24,4997.64,5017.36,20.6,18.93,BULL,2305,4
2026-02-05 02:20:00,5017.36,5018.43,5006.52,5011.57,11.91,5.79,BEAR,2176,4
2026-02-05 02:25:00,5011.6,5019.42,5011.6,5015.72,7.82,4.12,BULL,1894,4
2026-02-05 02:30:00,5015.75,5017.32,5009.39,5009.62,7.93,6.13,BEAR,1316,4
2026-02-05 02:35:00,5009.62,5017.76,5009.3,5016.43,8.46,6.81,BULL,991,4
2026-02-05 02:40:00,5016.43,5018.4,5013.92,5018.39,4.48,1.96,BULL,909,4
2026-02-05 02:45:00,5018.39,5020.5,5016.12,5017.0,4.38,1.39,BEAR,1018,4
2026-02-05 02:50:00,5017.0,5017.65,5011.21,5014.75,6.44,2.25,BEAR,1678,4
2026-02-05 02:55:00,5014.75,5015.44,5004.26,5006.89,11.18,7.86,BEAR,2103,4
2026-02-05 03:00:00,5006.89,5012.12,4990.86,5002.17,21.26,4.72,BEAR,5080,4
2026-02-05 03:05:00,5002.17,5005.82,4991.24,4999.62,14.58,2.55,BEAR,4374,4
2026-02-05 03:10:00,4999.62,5001.19,4967.09,4967.67,34.1,31.95,BEAR,4800,4
2026-02-05 03:15:00,4967.86,4973.22,4944.3,4944.72,28.92,23.14,BEAR,5702,4
2026-02-05 03:20:00,4944.72,4960.7,4939.88,4947.78,20.82,3.06,BULL,5004,4
2026-02-05 03:25:00,4947.78,4957.75,4936.1,4951.97,21.65,4.19,BULL,4964,4
2026-02-05 03:30:00,4951.97,4971.66,4951.97,4971.06,19.69,19.09,BULL,4484,4
2026-02-05 03:35:00,4971.09,4985.2,4971.09,4979.6,14.11,8.51,BULL,4961,4
2026-02-05 03:40:00,4979.59,4983.67,4966.02,4980.15,17.65,0.56,BULL,5224,4
2026-02-05 03:45:00,4980.12,4981.1,4968.39,4980.4,12.71,0.28,BULL,4058,4
2026-02-05 03:50:00,4980.4,4986.44,4976.6,4979.43,9.84,0.97,BEAR,3038,4
2026-02-05 03:55:00,4979.43,4981.82,4957.64,4958.89,24.18,20.54,BEAR,3967,4
2026-02-05 04:00:00,4958.91,4962.14,4948.59,4950.33,13.55,8.58,BEAR,5562,4
2026-02-05 04:05:00,4950.33,4950.91,4932.09,4937.33,18.82,13.0,BEAR,4895,4
2026-02-05 04:10:00,4937.33,4945.33,4903.64,4915.64,41.69,21.69,BEAR,5820,4
2026-02-05 04:15:00,4915.68,4922.08,4895.58,4908.97,26.5,6.71,BEAR,6169,4
2026-02-05 04:20:00,4908.97,4934.11,4903.84,4933.49,30.27,24.52,BULL,4805,4
2026-02-05 04:25:00,4933.32,4942.26,4926.52,4937.08,15.74,3.76,BULL,4104,4
2026-02-05 04:30:00,4937.05,4940.68,4911.66,4921.48,29.02,15.57,BEAR,5928,4
2026-02-05 04:35:00,4921.48,4933.15,4908.76,4915.82,24.39,5.66,BEAR,4716,4
2026-02-05 04:40:00,4915.72,4916.45,4895.87,4896.89,20.58,18.83,BEAR,5569,4
2026-02-05 04:45:00,4896.91,4899.41,4830.81,4852.49,68.6,44.42,BEAR,6287,4
2026-02-05 04:50:00,4852.35,4854.22,4805.1,4845.73,49.12,6.62,BEAR,6435,4
2026-02-05 04:55:00,4845.73,4854.26,4807.14,4811.91,47.12,33.82,BEAR,5494,4
2026-02-05 05:00:00,4812.06,4844.45,4788.86,4837.44,55.59,25.38,BULL,5977,4
2026-02-05 05:05:00,4837.44,4848.34,4826.98,4846.9,21.36,9.46,BULL,5388,4
2026-02-05 05:10:00,4846.9,4858.37,4842.16,4847.16,16.21,0.26,BULL,5076,4
2026-02-05 05:15:00,4847.17,4862.44,4833.24,4860.39,29.2,13.22,BULL,4756,4
2026-02-05 05:20:00,4860.41,4888.4,4855.25,4871.31,33.15,10.9,BULL,5199,4
2026-02-05 05:25:00,4871.31,4883.4,4858.28,4858.93,25.12,12.38,BEAR,5241,4
2026-02-05 05:30:00,4858.9,4870.78,4847.78,4860.07,23.0,1.17,BULL,4464,4
2026-02-05 05:35:00,4860.07,4864.58,4839.38,4860.52,25.2,0.45,BULL,4415,4
2026-02-05 05:40:00,4860.5,4879.39,4852.09,4867.49,27.3,6.99,BULL,4077,4
2026-02-05 05:45:00,4867.48,4874.92,4857.87,4866.59,17.05,0.89,BEAR,2918,4
2026-02-05 05:50:00,4866.46,4881.41,4852.71,4874.25,28.7,7.79,BULL,3442,4
2026-02-05 05:55:00,4874.25,4885.81,4871.6,4880.81,14.21,6.56,BULL,3259,4
2026-02-05 06:00:00,4880.81,4885.31,4866.13,4867.99,19.18,12.82,BEAR,3226,4
2026-02-05 06:05:00,4868.08,4877.77,4864.67,4868.59,13.1,0.51,BULL,3645,4
2026-02-05 06:10:00,4868.59,4876.23,4863.53,4875.15,12.7,6.56,BULL,2726,4
2026-02-05 06:15:00,4875.21,4884.77,4871.02,4880.75,13.75,5.54,BULL,1954,4
2026-02-05 06:20:00,4880.75,4891.14,4880.43,4882.33,10.71,1.58,BULL,2777,4
2026-02-05 06:25:00,4882.33,4888.02,4876.29,4886.89,11.73,4.56,BULL,2890,4
2026-02-05 06:30:00,4886.89,4887.93,4877.85,4885.71,10.08,1.18,BEAR,2788,4
2026-02-05 06:35:00,4885.7,4887.62,4870.88,4871.35,16.74,14.35,BEAR,2732,4
2026-02-05 06:40:00,4871.35,4886.79,4870.19,4886.54,16.6,15.19,BULL,2869,4
2026-02-05 06:45:00,4886.51,4888.07,4878.62,4880.77,9.45,5.74,BEAR,2538,4
2026-02-05 06:50:00,4880.77,4887.69,4877.69,4880.64,10.0,0.13,BEAR,2847,4
2026-02-05 06:55:00,4880.6,4881.99,4863.61,4863.82,18.38,16.78,BEAR,2647,4
2026-02-05 07:00:00,4864.03,4876.07,4862.87,4872.59,13.2,8.56,BULL,2963,4
2026-02-05 07:05:00,4872.6,4874.44,4855.4,4861.41,19.04,11.19,BEAR,3201,4
2026-02-05 07:10:00,4861.57,4866.7,4849.03,4852.99,17.67,8.58,BEAR,2587,4
2026-02-05 07:15:00,4852.99,4859.6,4849.35,4852.52,10.25,0.47,BEAR,2439,4
2026-02-05 07:20:00,4852.52,4857.87,4840.24,4851.2,17.63,1.32,BEAR,2858,4
2026-02-05 07:25:00,4851.2,4870.65,4851.18,4868.77,19.47,17.57,BULL,2087,4
2026-02-05 07:30:00,4868.77,4869.19,4826.44,4841.32,42.75,27.45,BEAR,5264,4
2026-02-05 07:35:00,4841.32,4860.05,4833.76,4853.13,26.29,11.81,BULL,4560,4
2026-02-05 07:40:00,4853.13,4887.33,4851.05,4885.55,36.28,32.42,BULL,4470,4
2026-02-05 07:45:00,4885.55,4905.87,4885.55,4895.12,20.32,9.57,BULL,4529,4
2026-02-05 07:50:00,4895.12,4906.57,4891.02,4905.37,15.55,10.25,BULL,3615,4
2026-02-05 07:55:00,4905.37,4906.71,4886.06,4896.42,20.65,8.95,BEAR,4024,4
2026-02-05 08:00:00,4896.42,4897.02,4877.91,4890.64,19.11,5.78,BEAR,3719,4
2026-02-05 08:05:00,4890.64,4917.24,4889.88,4913.4,27.36,22.76,BULL,3205,4
2026-02-05 08:10:00,4913.4,4920.49,4907.66,4910.51,12.83,2.89,BEAR,3765,4
2026-02-05 08:15:00,4910.51,4923.34,4901.44,4913.09,21.9,2.58,BULL,3647,4
2026-02-05 08:20:00,4913.09,4921.81,4909.76,4914.28,12.05,1.19,BULL,3106,4
2026-02-05 08:25:00,4914.28,4930.28,4910.88,4929.54,19.4,15.26,BULL,3028,4
2026-02-05 08:30:00,4929.54,4929.86,4918.72,4925.06,11.14,4.48,BEAR,2224,4
2026-02-05 08:35:00,4925.12,4926.23,4909.79,4925.43,16.44,0.31,BULL,2175,4
2026-02-05 08:40:00,4924.8,4930.58,4922.69,4929.51,7.89,4.71,BULL,2324,4
2026-02-05 08:45:00,4929.57,4934.11,4917.49,4924.86,16.62,4.71,BEAR,2953,4
2026-02-05 08:50:00,4924.86,4926.24,4905.36,4908.2,20.88,16.66,BEAR,2496,4
2026-02-05 08:55:00,4908.2,4921.8,4898.69,4920.44,23.11,12.24,BULL,2690,4
2026-02-05 09:00:00,4920.44,4929.55,4916.1,4926.56,13.45,6.12,BULL,2478,4
